de,vers,nombre
La Défense,Esplanade de La Défense,7
La Défense,Pont de Neuilly,5
La Défense,Les Sablons,6
La Défense,Porte Maillot,6
La Défense,Argentine,5
La Défense,Charles de Gaulle - Étoile,7
La Défense,George V,5
La Défense,Franklin D. Roosevelt,1
La Défense,Champs-Élysées - Clemenceau,2
La Défense,Concorde,8
La Défense,Tuileries,1
La Défense,Palais-Royal - Musée du Louvre,2
La Défense,Louvre - Rivoli,1
La Défense,Châtelet,7
La Défense,Hôtel de Ville,5
La Défense,Saint-Paul,1
La Défense,Bastille,4
La Défense,Gare de Lyon,6
La Défense,Reuilly - Diderot,8
La Défense,Nation,9
La Défense,Porte de Vincennes,7
La Défense,Saint-Mandé,8
La Défense,Bérault,1
La Défense,Château de Vincennes,5
La Défense,Porte Dauphine,4
La Défense,Victor Hugo,5
La Défense,Ternes,3
La Défense,Courcelles,3
La Défense,Monceau,3
La Défense,Villiers,7
La Défense,Rome,4
La Défense,Place de Clichy,2
La Défense,Blanche,5
La Défense,Pigalle,8
La Défense,Anvers,1
La Défense,Barbès - Rochechouart,9
La Défense,La Chapelle,9
La Défense,Stalingrad,2
La Défense,Jaurès,5
La Défense,Colonel Fabien,9
La Défense,Belleville,6
La Défense,Couronnes,1
La Défense,Ménilmontant,9
La Défense,Père Lachaise,1
La Défense,Philippe Auguste,9
La Défense,Alexandre Dumas,4
La Défense,Avron,9
La Défense,Pont de Levallois - Bécon,6
La Défense,Anatole France,9
La Défense,Louise Michel,4
La Défense,Porte de Champerret,7
La Défense,Pereire,3
La Défense,Wagram,6
La Défense,Malesherbes,5
La Défense,Europe,8
La Défense,Saint-Lazare,8
La Défense,Havre - Caumartin,7
La Défense,Opéra,1
La Défense,Quatre-Septembre,8
La Défense,Bourse,9
La Défense,Sentier,1
La Défense,Réaumur - Sébastopol,4
La Défense,Arts et Métiers,7
La Défense,Temple,4
La Défense,République,8
La Défense,Parmentier,8
La Défense,Rue Saint-Maur,3
La Défense,Gambetta,3
La Défense,Porte de Bagnolet,7
La Défense,Gallieni,6
La Défense,Pelleport,1
La Défense,Porte des Lilas,3
La Défense,Porte de Clignancourt,8
La Défense,Simplon,1
La Défense,Marcadet - Poissonniers,6
La Défense,Château Rouge,9
La Défense,Gare du Nord,8
La Défense,Gare de l'Est,1
La Défense,Château d'Eau,2
La Défense,Strasbourg - Saint-Denis,7
La Défense,Étienne Marcel,3
La Défense,Les Halles,1
La Défense,Cité,2
La Défense,Saint-Michel,8
La Défense,Odéon,2
La Défense,Saint-Germain-des-Prés,3
La Défense,Saint-Sulpice,6
La Défense,Saint-Placide,7
La Défense,Montparnasse - Bienvenüe,6
La Défense,Vavin,7
La Défense,Raspail,7
La Défense,Denfert-Rochereau,2
La Défense,Mouton-Duvernet,6
La Défense,Alésia,6
La Défense,Porte d'Orléans,7
La Défense,Mairie de Montrouge,6
La Défense,Barbara,4
La Défense,Bagneux - Lucie Aubrac,4
La Défense,Bobigny - Pablo Picasso,2
La Défense,Bobigny - Pantin - Raymond Queneau,7
La Défense,Église de Pantin,1
La Défense,Hoche,1
La Défense,Porte de Pantin,7
La Défense,Ourcq,4
La Défense,Laumière,3
La Défense,Jacques Bonsergent,3
La Défense,Oberkampf,5
La Défense,Richard-Lenoir,9
La Défense,Bréguet - Sabin,8
La Défense,Quai de la Rapée,3
La Défense,Gare d'Austerlitz,9
La Défense,Saint-Marcel,9
La Défense,Campo-Formio,5
La Défense,Place d'Italie,1
La Défense,Kléber,7
La Défense,Boissière,8
La Défense,Trocadéro,3
La Défense,Passy,5
La Défense,Bir-Hakeim,2
La Défense,Dupleix,4
La Défense,La Motte-Picquet - Grenelle,6
La Défense,Cambronne,5
La Défense,Sèvres - Lecourbe,3
La Défense,Pasteur,3
La Défense,Edgar Quinet,5
La Défense,Saint-Jacques,2
La Défense,Glacière,2
La Défense,Corvisart,6
La Défense,Nationale,6
La Défense,Chevaleret,3
La Défense,Quai de la Gare,7
La Défense,Bercy,7
La Défense,Dugommier,1
La Défense,Daumesnil,8
La Défense,Bel-Air,2
La Défense,Picpus,4
La Défense,La Courneuve - 8 Mai 1945,4
La Défense,Fort d'Aubervilliers,4
La Défense,Aubervilliers - Pantin - Quatre Chemins,3
La Défense,Porte de la Villette,2
La Défense,Corentin Cariou,7
La Défense,Crimée,5
La Défense,Riquet,2
La Défense,Louis Blanc,5
La Défense,Château-Landon,2
La Défense,Poissonnière,9
La Défense,Cadet,6
La Défense,Le Peletier,3
La Défense,Chaussée d'Antin - La Fayette,8
