de Ligne,de Station,vers Ligne,vers Station
1,Charles de Gaulle - Étoile,2,Charles de Gaulle - Étoile
1,Charles de Gaulle - Étoile,6,Charles de Gaulle - Étoile
1,Franklin D. Roosevelt,9,Franklin D. Roosevelt
1,Champs-Élysées - Clemenceau,13,Champs-Élysées - Clemenceau
1,Concorde,8,Concorde
1,Concorde,12,Concorde
1,Palais-Royal - Musée du Louvre,7,Palais-Royal - Musée du Louvre
1,Châtelet,4,Châtelet
1,Châtelet,7,Châtelet
1,Châtelet,11,Châtelet
1,Châtelet,14,Châtelet
1,Hôtel de Ville,11,Hôtel de Ville
1,Bastille,5,Bastille
1,Bastille,8,Bastille
1,Gare de Lyon,14,Gare de Lyon
1,Reuilly - Diderot,8,Reuilly - Diderot
1,Nation,2,Nation
1,Nation,6,Nation
1,Nation,9,Nation
2,Charles de Gaulle - Étoile,1,Charles de Gaulle - Étoile
2,Charles de Gaulle - Étoile,6,Charles de Gaulle - Étoile
2,Villiers,3,Villiers
2,Place de Clichy,13,Place de Clichy
2,Pigalle,12,Pigalle
2,Barbès - Rochechouart,4,Barbès - Rochechouart
2,Stalingrad,5,Stalingrad
2,Stalingrad,7,Stalingrad
2,Jaurès,5,Jaurès
2,Belleville,11,Belleville
2,Père Lachaise,3,Père Lachaise
2,Nation,1,Nation
2,Nation,6,Nation
2,Nation,9,Nation
3,Villiers,2,Villiers
3,Saint-Lazare,12,Saint-Lazare
3,Saint-Lazare,13,Saint-Lazare
3,Saint-Lazare,14,Saint-Lazare
3,Havre - Caumartin,9,Havre - Caumartin
3,Opéra,7,Opéra
3,Opéra,8,Opéra
3,Réaumur - Sébastopol,4,Réaumur - Sébastopol
3,Arts et Métiers,11,Arts et Métiers
3,République,5,République
3,République,8,République
3,République,9,République
3,République,11,République
3,Père Lachaise,2,Père Lachaise
3bis,Gambetta,3,Gambetta
3bis,Porte des Lilas,11,Porte des Lilas
4,Marcadet - Poissonniers,12,Marcadet - Poissonniers
4,Barbès - Rochechouart,2,Barbès - Rochechouart
4,Gare du Nord,5,Gare du Nord
4,Gare de l'Est,5,Gare de l'Est
4,Gare de l'Est,7,Gare de l'Est
4,Strasbourg - Saint-Denis,8,Strasbourg - Saint-Denis
4,Strasbourg - Saint-Denis,9,Strasbourg - Saint-Denis
4,Réaumur - Sébastopol,3,Réaumur - Sébastopol
4,Châtelet,1,Châtelet
4,Châtelet,7,Châtelet
4,Châtelet,11,Châtelet
4,Châtelet,14,Châtelet
4,Odéon,10,Odéon
4,Montparnasse - Bienvenüe,6,Montparnasse - Bienvenüe
4,Montparnasse - Bienvenüe,12,Montparnasse - Bienvenüe
4,Montparnasse - Bienvenüe,13,Montparnasse - Bienvenüe
4,Raspail,6,Raspail
4,Denfert-Rochereau,6,Denfert-Rochereau
5,Bobigny - Pablo Picasso, 1,Bobigny - Pablo Picasso
5,Jaurès,2,Jaurès
5,Stalingrad,2,Stalingrad
5,Stalingrad,7,Stalingrad
5,Gare du Nord,4,Gare du Nord
5,Gare de l'Est,4,Gare de l'Est
5,Gare de l'Est,7,Gare de l'Est
5,République,3,République
5,République,8,République
5,République,9,République
5,République,11,République
5,Oberkampf,9,Oberkampf
5,Bastille,1,Bastille
5,Bastille,8,Bastille
5,Gare d'Austerlitz,10,Gare d'Austerlitz
5,Place d'Italie,6,Place d'Italie
5,Place d'Italie,7,Place d'Italie
6,Charles de Gaulle - Étoile,1,Charles de Gaulle - Étoile
6,Charles de Gaulle - Étoile,2,Charles de Gaulle - Étoile
6,Trocadéro,9,Trocadéro
6,La Motte-Picquet - Grenelle,8,La Motte-Picquet - Grenelle
6,La Motte-Picquet - Grenelle,10,La Motte-Picquet - Grenelle
6,Pasteur,12,Pasteur
6,Montparnasse - Bienvenüe,4,Montparnasse - Bienvenüe
6,Montparnasse - Bienvenüe,12,Montparnasse - Bienvenüe
6,Montparnasse - Bienvenüe,13,Montparnasse - Bienvenüe
6,Raspail,4,Raspail
6,Denfert-Rochereau,4,Denfert-Rochereau
6,Place d'Italie,5,Place d'Italie
6,Place d'Italie,7,Place d'Italie
6,Bercy,14,Bercy
6,Daumesnil,8,Daumesnil
6,Nation,1,Nation
6,Nation,2,Nation
6,Nation,9,Nation
