Station,GPS
Abbesses,"48.884594208027806, 2.3379497756920697"
Aimé Césaire,"48.90808243782026, 2.377741481106109"
Alésia,"48.82818847631351, 2.3271646496078247"
Alexandre Dumas,"48.85622809125615, 2.3946756547920462"
Alma - Marceau,"48.86476684497177, 2.3009910034955845"
Anatole France,"48.892082785966664, 2.2850095013824143"
Anvers,"48.882972767827276, 2.3446670737483"
Argentine,"48.87533684211653, 2.2901275088247015"
Arts et Métiers,"48.86532271167806, 2.356729869173701"
Assemblée nationale,"48.860786963526714, 2.3209981919540845"
Aubervilliers - Pantin - Quatre Chemins,"48.90378388105197, 2.392221222535117"
Avenue Émile-Zola,"48.84699703133652, 2.2950191304763616"
Avron,"48.85190531895693, 2.3979973148307456"
Bagneux - Lucie Aubrac,"48.80348971892539, 2.3173602968975313"
Balard,"48.83612298019267, 2.2781191783109924"
Barbara,"48.80970399753329, 2.3174491879233723"
Barbès - Rochechouart,"48.8834180885266, 2.349674832582202"
Basilique de Saint-Denis,"48.93677678991262, 2.3593662963605984"
Bastille,"48.852009030520556, 2.36867458439179"
Bel-Air,"48.84133824913213, 2.4009185367798027"
Belleville,"48.87228310892801, 2.37673072170184"
Bérault,"48.845470707583566, 2.4292051663480003"
Bercy,"48.84038874809587, 2.3799112714543984"
Bibliothèque François-Mitterrand,"48.829990199899186, 2.375747983215603"
Billancourt,"48.83173796437048, 2.2374367869806067"
Bir-Hakeim,"48.85394260621378, 2.2893345327788075"
Blanche,"48.88355629016869, 2.3333796724221587"
Bobigny - Pablo Picasso,"48.9063747711693, 2.4491899044793364"
Bobigny - Pantin - Raymond Queneau,"48.89545467305272, 2.4253268901662555"
Boissière,"48.86698310944948, 2.290058833580487"
Bolivar,"48.880667463456206, 2.374495966260425"
Bonne-Nouvelle,"48.870590478011124, 2.3484911310789895"
Botzaris,"48.87949310793359, 2.3885668704791967"
Boucicaut,"48.84109405724891, 2.287945766487378"
Boulogne - Jean Jaurès,"48.842005347289565, 2.238887327153073"
Boulogne - Pont de Saint-Cloud,"48.84074501612618, 2.2285369814916316"
Bourse,"48.86865415183625, 2.3413760511435733"
Bréguet - Sabin,"48.856140711155, 2.370209339755372"
Brochant,"48.89058718661181, 2.320174757151551"
Buttes Chaumont,"48.87851411402383, 2.3816145119289653"
Buzenval,"48.85197520932561, 2.401927284511547"
Cadet,"48.87600859381197, 2.3445724820893283"
Cambronne,"48.84750708199681, 2.302968297817314"
Campo-Formio,"48.835152535740804, 2.3585662563494667"
Cardinal Lemoine,"48.84665685124266, 2.3516232550160123"
Carrefour Pleyel,"48.91900755521728, 2.3426080144231554"
Censier - Daubenton,"48.84023383632875, 2.3516064753021904"
Champs-Élysées - Clemenceau,"48.8679053448971, 2.3135455499467414"
Chardon-Lagache,"48.84520470358118, 2.266441541719401"
Charenton - Écoles,"48.821897939434606, 2.413132938342708"
Charles de Gaulle - Étoile,"48.874204186324654, 2.2947732143825275"
Charles Michels,"48.8465346367312, 2.2859992220590075"
Charonne,"48.855094494476994, 2.3846997601328437"
Château de Vincennes,"48.84445639456913, 2.440439978057246"
Château d'Eau,"48.87262083992817, 2.356153947450339"
Château Rouge,"48.88671096804134, 2.349559430194618"
Château-Landon,"48.87844430039445, 2.3619653022299603"
Châtelet,"48.859589655582816, 2.346478183587595"
Châtillon - Montrouge,"48.810746486780936, 2.3016785554824284"
Chaussée d'Antin - La Fayette,"48.873252746484354, 2.3339466825286297"
Chemin Vert,"48.85710325815475, 2.368184114950699"
Chevaleret,"48.83494772325454, 2.3681263304132094"
Cité,"48.85493637835866, 2.3473213170674265"
Cluny - La Sorbonne,"48.851050282314304, 2.3442733454213514"
Colonel Fabien,"48.87761018741785, 2.370811395312745"
Commerce,"48.84479476371181, 2.293951963648718"
Concorde,"48.86616711494919, 2.323175680856618"
Convention,"48.837099428223645, 2.296231386803389"
Corentin Cariou,"48.89465585833331, 2.382160158371538"
Corentin Celton,"48.82708544889644, 2.2794116820504207"
